WAP,"p-value, Pr(>F)"
1,102.1 <2e-16
2,107.3 <2e-16
3,392.2 <2e-16
4,401.7 <2e-16
5,25.47 <2e-16
6,19.8 <2e-16
7,262.2 <2e-16
8,237.9 <2e-16
9,1.62  0.153
10,1.62  0.153
11,27.35 <2e-16
12,30.24 <2e-16
13,25.71 <2e-16
14,29.58 <2e-16
15,8.168  2e-07
16,8.1 2.32e-07
17,223 <2e-16
18,276.2 <2e-16
19,34.79 <2e-16
20,53.37 <2e-16
21,327 <2e-16
22,326.8 <2e-16
23,202.5 <2e-16
24,243.8 <2e-16
25,3.721 0.00257
26,80.43 <2e-16
27,4.15 0.00106
28,68.85 <2e-16
29,81.54 <2e-16
30,58.5 <2e-16
31,64.83 <2e-16
32,53.51 <2e-16
33,51.59 <2e-16
34,105.8 <2e-16
35,105.1 <2e-16
36,111.3 <2e-16
37,104.9 <2e-16
38,40.48 <2e-16
39,39.78 <2e-16
40,16.92 1.85e-15
41,39.35 <2e-16
42,24.12 <2e-16
43,22.4 <2e-16
44,32.63 <2e-16
45,87.29 <2e-16
46,57.08 <2e-16
47,51.94 <2e-16
48,70.14 <2e-16
49,31.82 <2e-16
50,47.2 <2e-16
51,47.45 <2e-16
52,56.32 <2e-16
53,54.97 <2e-16
54,76.63 <2e-16
55,62.29 <2e-16
56,61.05 <2e-16
57,79.28 <2e-16
58,76.32 <2e-16
59,76.01 <2e-16
60,77.34 <2e-16
61,78.87 <2e-16
62,1  0.417
63,29.57 <2e-16
64,37.22 <2e-16
65,40.87 <2e-16
66,30.31 <2e-16
67,27.3 <2e-16
68,66.1 <2e-16
69,34.88 <2e-16
70,35.52 <2e-16
71,35.1 <2e-16
72,34.41 <2e-16
73,37.92 <2e-16
74,32.03 <2e-16
75,13.03 6.21e-12
76,16.81 2.33e-15
77,37.55 <2e-16
78,16.02 1.17e-14
79,15.11 7.89e-14
80,31.25 <2e-16
81,4.509 0.000497
82,5.657 4.37e-05
83,5.434 7.04e-05
84,5.625 4.68e-05
85,16.01 1.21e-14
86,10.93 5.32e-10
87,16.57 3.81e-15
88,13.05  6e-12
89,14.86 1.32e-13
90,12.56 1.67e-11
91,13.4 2.84e-12
92,4.15 0.00106
93,7.153 1.77e-06
94,13.52 2.22e-12
95,82.69 <2e-16
96,69.6 <2e-16
97,110.2 <2e-16
98,75.1 <2e-16
99,9.863 5.26e-09
100,270.6 <2e-16
101,28.83 <2e-16
102,31.93 <2e-16
103,37.01 <2e-16
104,95.24 <2e-16
105,61.42 <2e-16
106,117.5 <2e-16
107,104.4 <2e-16
108,135.6 <2e-16
109,59.76 <2e-16
110,277.3 <2e-16
111,198 <2e-16
112,289.4 <2e-16
113,17.98 <2e-16
114,23.49 <2e-16
115,242.4 <2e-16
116,237.6 <2e-16
117,431.2 <2e-16
118,422.1 <2e-16
119,137.4 <2e-16
120,136.2 <2e-16
121,141.7 <2e-16
122,76.56 <2e-16
123,134.9 <2e-16
124,211 <2e-16
125,178.9 <2e-16
126,110.4 <2e-16
127,125.4 <2e-16
