WAP_001,WAP_002,WAP_003,WAP_004,WAP_007,WAP_008,WAP_017,WAP_018,WAP_021,WAP_022,WAP_023,WAP_024,WAP_026,WAP_029,WAP_034,WAP_035,WAP_036,WAP_037,WAP_045,WAP_048,WAP_054,WAP_057,WAP_058,WAP_059,WAP_060,WAP_061,WAP_095,WAP_097,WAP_098,WAP_100,WAP_104,WAP_106,WAP_107,WAP_108,WAP_110,WAP_111,WAP_112,WAP_115,WAP_116,WAP_117,WAP_118,WAP_119,WAP_120,WAP_121,WAP_122,WAP_123,WAP_124,WAP_125,WAP_126,WAP_127,GRP
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-85,-90,-100,-100,-100,-100,-88,-100,-100,-78,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-71,-71,-60,-100,-78,-100,-100,-86,-86,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-85,-82,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-70,-69,-66,-100,-100,-100,-100,-86,-86,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-85,-82,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-70,-75,-69,-100,-81,-100,-100,-86,-86,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-80,-100,-100,-75,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-71,-71,-65,-63,-83,-100,-100,-100,-100,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-85,-90,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-68,-68,-64,-100,-78,-100,-100,-86,-86,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-80,-100,-100,-80,-100,-84,-85,-73,-100,-100,-100,-100,-100,-100,-100,-68,-68,-65,-64,-83,-100,-100,-100,-100,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-87,-100,-100,-82,-100,-100,-88,-73,-100,-100,-100,-100,-100,-100,-100,-68,-68,-66,-65,-84,-100,-100,-80,-78,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-83,-100,-100,-80,-100,-100,-88,-77,-100,-100,-100,-100,-100,-100,-100,-72,-72,-67,-67,-83,-100,-100,-82,-82,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-84,-100,-84,-85,-69,-100,-100,-100,-100,-100,-100,-100,-71,-71,-65,-64,-84,-100,-100,-83,-70,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-81,-83,-100,-100,-100,-100,-87,-100,-100,-83,-100,-100,-88,-71,-100,-100,-100,-100,-100,-100,-100,-72,-71,-65,-65,-84,-100,-100,-80,-78,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-83,-100,-100,-80,-100,-100,-88,-75,-100,-100,-100,-100,-100,-100,-100,-72,-71,-66,-67,-83,-100,-100,-84,-84,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-80,-100,-100,-80,-100,-80,-87,-81,-100,-100,-100,-100,-100,-100,-100,-71,-71,-62,-63,-82,-100,-100,-83,-81,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-87,-100,-100,-78,-100,-100,-85,-70,-100,-100,-100,-100,-100,-100,-100,-64,-63,-65,-67,-84,-100,-100,-80,-78,4
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-83,-100,-100,-81,-100,-80,-100,-74,-100,-100,-100,-100,-100,-100,-100,-68,-67,-68,-67,-83,-100,-100,-86,-87,4
